-20480, -1280,    -1,    -1,    -1,    -1,-24832,     0,     0,     0,     0,     0,-25344,    -1,    -1,    -1, 11519,-21248, -9472,    -1,    -1,    -1, 29440,     0,     0,     0,     0,-16128,    -1,    -1,   767, 23039
-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-22272, 32767, 32767, 32767,-21248,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768, -1536, 32767, 32767, 32767, 32767, 32767,-18432
-32768,-32768,-32768,-32768,-32768,-32768,-32768,-22272, 32767, 32767, 32767,-21248,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768, -1536, 32767, 32767, 32767, 32767, 32767,-18432,-32768,-32768,-32768
 24320, 21760, 24576,-23296, -5632,    -1,    -1, 28160, 27904,-16128,  4352,     0,     0,     0,     0,  5376, 23040,-24832, -7168,    -1,  9471, 30975,-13057,-20225,    -1,    -1, -3840, 14592,     0,     0,     0,  8448
-20736,-22528, -5376,    -1, 30464,  6144, 14592, 23040, 31488,-25600,  6400,     0,     0,     0,  4864,-29952,    -1,  6143, 14591, 23039, 31487,  -256,-17152, -8704,  -256,    -1, 29952,     0,     0,     0, 11008,-23808
 23040,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768, -1536, 32767, 32767, 32767, 32767,  -256,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-31488,  7680, 32767, 32767
-24320,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768, -1536, 32767, 32767, 32767, 32767,  -256,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-31488,  7680, 32767, 32767, 32767, 32767,-11520

 28928,-29952,-13312,    -1,    -1,    -1, 26367,-20737,    -1,    -1,    -1,     0,     0,     0,     0,     0, 23040,-11008,    -1,    -1,    -1,-20737,    -2,    -2,    -1,    -1,    -1,-18688,     0,     0,     0,     0
 -6912,    -1,    -1,    -1, 11519,-21248, -9472,    -1,    -1,    -1, 29440,     0,     0,     0,     0,-16128,    -1,    -1,   767, 23039,-20225, -7937,    -1,    -1,    -1,    -1,-12544,     0,     0,     0,     0, -9984
 32767, 14080,-21248,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768, -1536, 32767, 32767, 32767, 32767, 32767,-18432,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,  7680, 32767, 32767
 -1280,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768, -1536, 32767, 32767, 32767, 32767, 32767,-18432,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,  7680, 32767, 32767, 32767, 32767, 32767
 18432,     0,     0,  5376, 23040,-24832, -7168,    -1,  9471, 30975,-13057,-20225,    -1,    -1, -3840, 14592,     0,     0,     0,  8448, 26112,-21760, -4096,    -1, 15615,-28417, -6913,-27393,    -1,    -1, -7936,   256
 20224,  2048,  4864,-29952,    -1,  6143, 14591, 23039, 31487,  -256,-17152, -8704,  -256,    -1, 29952,     0,     0,     0, 11008,-23808,   767,  9215, 17663, 26111,-30977,-11520,-14080, -5632,    -1,    -1, 22784,     0
 -1536, 11520, 32767, 32767, 32767, 32767,  -256,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-31488,  7680, 32767, 32767, 32767, 32767,-11520,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768
 32767, 32767, 32767,  -256,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-31488,  7680, 32767, 32767, 32767, 32767,-11520,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768

 13056,     0,     0,     0, 23040,-11008,    -1,    -1,    -1,-20737,    -2,    -2,    -1,    -1,    -1,-18688,     0,     0,     0,     0, 26112, -7936,    -1,    -1,  1791,-14593,    -2, -4353,    -1,    -1,    -1, 32512
     0,     0,     0,-16128,    -1,    -1,   767, 23039,-20225, -7937,    -1,    -1,    -1,    -1,-12544,     0,     0,     0,     0, -9984,    -1,    -1,  3839, 26111,-17153,-22273,    -1,    -1,    -1,    -1,-19712,     0
 -1536, 25344, 32767, 32767, 32767, 32767, 32767,-18432,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,  7680, 32767, 32767, 32767, 32767, 32767,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768
 32767, 32767, 32767, 32767,-18432,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,  7680, 32767, 32767, 32767, 32767, 32767,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,  5376
