workload_id,cycle,spatial_idx,cin_idx,phase,rule
person2_sd_unet_gemm_003,181,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,182,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,183,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,184,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,185,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,186,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,187,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,188,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,189,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,190,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,191,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,192,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,193,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,194,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,195,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,196,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,197,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,198,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,199,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,200,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,201,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,202,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,203,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,204,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,205,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,206,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,207,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,208,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,209,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,210,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,211,0,3,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,212,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,213,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,214,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,215,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,216,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,217,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,218,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,219,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,220,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,221,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,222,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,223,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,224,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,225,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,226,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,227,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,228,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,229,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,230,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,231,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,232,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,233,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,234,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,235,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,236,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,237,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,238,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,239,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,240,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,241,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,242,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,243,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,244,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,245,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,246,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,247,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,248,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,249,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,250,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,251,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,252,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,253,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,254,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,255,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,256,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,257,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,258,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,259,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,260,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,261,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,262,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,263,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,264,0,4,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,265,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,266,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,267,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,268,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,269,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,270,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,271,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,272,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,273,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,274,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,275,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,276,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,277,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,278,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,279,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,280,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,281,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,282,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,283,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,284,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,285,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,286,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,287,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,288,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,289,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,290,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,291,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,292,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,293,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,294,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,295,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,296,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,297,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,298,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,299,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_003,300,0,5,middle_cin_accumulate,k1_group16_spatial_reuse_v8
